word,gt_end_s,audio_time_at_commit_s,model_processing_ms,total_output_time_s,latency_ms
he,0.62,0.79875,74.7106799390167,0.8734606799390167,253.46067993901667
hoped,1.01,1.11825,22.0025188755244,1.1402525188755244,130.25251887552434
there,1.13,1.43775,24.779314873740077,1.4625293148737402,332.52931487374025
would,1.31,1.43775,24.779314873740077,1.4625293148737402,152.5293148737401
be,1.44,1.5975,23.4104769770056,1.6209104769770055,180.91047697700557
stew,1.83,2.07675,23.716768017038703,2.100466768017039,270.4667680170387
for,1.99,2.2365,24.204073008149862,2.26070407300815,270.7040730081498
dinner,2.36,2.39625,21.81229181587696,2.418062291815877,58.0622918158773
turnips,3.07,3.35475,22.502653999254107,3.3772526539992542,307.2526539992544
and,3.24,3.35475,22.502653999254107,3.3772526539992542,137.25265399925402
carrots,3.77,3.99375,20.031971856951714,4.013781971856952,243.78197185695205
and,3.98,4.1535,20.234829047694802,4.173734829047695,193.734829047695
bruised,4.38,4.473,25.223040021955967,4.498223040021956,118.22304002195594
potatoes,5.05,5.112,19.815199077129364,5.1318151990771295,81.81519907712965
and,5.23,5.27175,20.38650307804346,5.292136503078043,62.13650307804297
fat,5.6,5.751,22.548444103449583,5.77354844410345,173.54844410345027
mutton,6.02,6.23025,22.77917810715735,6.253029178107157,233.02917810715763
pieces,6.51,6.54975,22.96290989033878,6.572712909890339,62.7129098903394
to,6.63,6.86925,23.891673889011145,6.893141673889011,263.1416738890113
be,6.8,6.86925,23.891673889011145,6.893141673889011,93.1416738890114
ladled,7.25,7.3485,24.46835907176137,7.372968359071761,122.96835907176096
out,7.57,7.668,24.16861616075039,7.6921686161607505,122.16861616075025
in,7.68,7.9875,23.55534303933382,8.011055343039335,331.05534303933484
thick,8.15,8.14725,23.54270196519792,8.170792701965198,20.792701965197224
peppered,8.64,8.78625,24.176185950636864,8.810426185950638,170.4261859506371
sauce,10.12,10.224,25.965437991544604,10.249965437991545,129.96543799154557
stuff,0.78,1.11825,28.242854867130518,1.1464928548671305,366.49285486713046
it,0.87,1.11825,28.242854867130518,1.1464928548671305,276.49285486713046
into,1.16,1.278,22.542681079357862,1.3005426810793579,140.54268107935798
you,1.4,1.5975,20.316538866609335,1.6178165388666093,217.81653886660933
his,1.76,1.917,20.392559003084898,1.937392559003085,177.39255900308493
belly,2.12,2.39625,22.107879165560007,2.41835787916556,298.3578791655601
counselled,2.64,2.8755,21.257997024804354,2.8967579970248045,256.7579970248044
him,2.86,3.03525,21.32178097963333,3.0565717809796333,196.57178097963344
after,0.73,0.79875,28.698458801954985,0.827448458801955,97.44845880195496
early,1.04,1.278,25.83850617520511,1.3038385061752051,263.8385061752051
the,1.9,2.07675,22.000839933753014,2.098750839933753,198.75083993375318
yellow,2.16,2.39625,21.627259207889438,2.4178772592078897,257.8772592078895
lamps,2.59,2.71575,21.914574084803462,2.7376645740848033,147.6645740848035
would,2.76,2.8755,20.802357932552695,2.896302357932553,136.30235793255306
light,3.07,3.195,20.80343896523118,3.215803438965231,145.80343896523118
up,3.27,3.35475,20.661856047809124,3.3754118560478092,105.41185604780922
here,3.52,3.67425,20.777845988050103,3.69502784598805,175.02784598804988
and,3.66,3.834,20.714886020869017,3.854714886020869,194.71488602086896
there,4.09,3.99375,21.118647884577513,4.014868647884578,-75.13135211542199
the,4.21,4.473,21.969971945509315,4.494969971945509,284.9699719455092
squalid,4.78,4.95225,21.02527511306107,4.973275275113061,193.27527511306107
quarter,5.31,5.59125,24.05489212833345,5.615304892128333,305.30489212833345
of,5.42,5.59125,24.05489212833345,5.615304892128333,195.30489212833314
the,5.5,5.59125,24.05489212833345,5.615304892128333,115.30489212833305
bertie,1.28,1.43775,22.17557211406529,1.4599255721140654,179.92557211406535
any,1.46,1.75725,22.05778588540852,1.7793077858854085,319.3077858854085
good,1.77,1.917,22.45156792923808,1.9394515679292381,169.4515679292381
in,1.85,2.2365,23.569592041894794,2.2600695920418947,410.0695920418946
your,1.99,2.2365,23.569592041894794,2.2600695920418947,270.06959204189474
mind,2.48,2.39625,22.00199104845524,2.4182519910484555,-61.748008951544534
number,0.65,1.278,25.61125112697482,1.3036112511269748,653.6112511269748
ten,1.24,1.278,25.61125112697482,1.3036112511269748,63.61125112697486
fresh,1.93,2.556,23.112484952434897,2.579112484952435,649.112484952435
is,2.55,2.8755,22.39447203464806,2.8978944720346482,347.8944720346484
waiting,2.9,3.03525,23.36258185096085,3.058612581850961,158.61258185096094
on,3.1,3.195,22.358446149155498,3.2173584461491553,117.35844614915524
you,3.4,3.5145,22.51161402091384,3.537011614020914,137.0116140209139
night,4.49,4.63275,21.791731007397175,4.654541731007397,164.54173100739666
husband,5.07,4.95225,21.63676591590047,4.973886765915901,-96.11323408409956
the,0.51,0.79875,29.27230205386877,0.8280223020538687,318.0223020538687
music,0.92,0.9585,31.892044935375452,0.9903920449353755,70.39204493537542
came,1.17,1.278,22.0421499107033,1.3000421499107033,130.0421499107034
and,1.88,2.07675,23.05209799669683,2.099802097996697,219.80209799669703
he,2.0,2.07675,23.05209799669683,2.099802097996697,99.80209799669693
recalled,2.53,2.556,30.160251073539257,2.5861602510735393,56.1602510735395
the,2.63,2.8755,21.025900030508637,2.896525900030509,266.5259000305089
words,3.21,3.195,20.96195495687425,3.215961954956874,5.961954956874127
the,3.68,3.834,20.25876916013658,3.8542587691601367,174.2587691601365
words,4.09,4.1535,23.09865108691156,4.176598651086912,86.5986510869119
of,4.18,4.31325,20.328890066593885,4.333578890066594,153.5788900665942
shelley's,4.74,4.95225,23.539731977507472,4.975789731977508,235.78973197750753
fragment,5.28,5.59125,22.877081064507365,5.614127081064507,334.12708106450674
upon,5.56,5.59125,22.877081064507365,5.614127081064507,54.127081064507365
the,5.65,5.91075,21.80893486365676,5.932558934863657,282.5589348636566
moon,6.11,6.0705,23.29280902631581,6.093792809026316,-16.207190973684504
wandering,6.68,6.7095,24.960086913779378,6.73446008691378,54.460086913779904
companionless,7.57,7.668,21.508882055059075,7.689508882055059,119.50888205505893
pale,8.33,8.46675,22.813052870333195,8.489563052870333,159.56305287033246
for,8.53,8.6265,22.04264304600656,8.648542643046007,118.54264304600726
weariness,9.26,9.2655,22.170464973896742,9.287670464973896,27.670464973896358
the,0.66,0.79875,28.422220842912793,0.8271722208429128,167.17222084291274
dull,0.95,1.278,26.235970202833414,1.3042359702028334,354.23597020283347
light,1.41,1.43775,21.411461988463998,1.459161461988464,49.16146198846416
fell,1.71,1.917,20.77697403728962,1.9377769740372897,227.7769740372897
more,1.94,2.07675,20.68153489381075,2.097431534893811,157.4315348938109
faintly,2.46,2.556,20.68895287811756,2.5766889528781176,116.68895287811765
upon,2.76,2.8755,21.69961901381612,2.8971996190138163,137.1996190138165
the,2.84,3.03525,29.73202196881175,3.0649820219688118,224.9820219688119
page,3.4,3.5145,22.58359012193978,3.5370835901219397,137.08359012193984
another,4.22,4.1535,20.232191076502204,4.173732191076502,-46.267808923497356
equation,4.85,5.27175,26.748119154945016,5.298498119154945,448.4981191549453
began,5.29,5.27175,26.748119154945016,5.298498119154945,8.498119154944916
to,5.48,5.59125,17.89945992641151,5.609149459926411,129.14945992641069
unfold,6.01,6.0705,19.377972930669785,6.08987797293067,79.87797293067001
itself,6.51,6.54975,19.682180834934115,6.5694321808349345,59.432180834934734
slowly,7.1,7.029,17.939537996426225,7.046939537996426,-53.060462003573505
and,7.72,7.9875,22.013399051502347,8.009513399051503,289.5133990515033
to,7.82,7.9875,22.013399051502347,8.009513399051503,189.51339905150277
spread,8.24,8.307,19.9677140917629,8.326967714091763,86.96771409176307
abroad,8.79,8.78625,22.21123198978603,8.808461231989787,18.461231989787663
its,8.97,9.10575,18.94137798808515,9.124691377988086,154.69137798808498
widening,9.56,9.585,18.613957101479173,9.60361395710148,43.61395710147953
a,0.63,0.9585,32.317132921889424,0.9908171329218894,360.8171329218894
cold,1.16,1.278,25.824334006756544,1.3038243340067566,143.82433400675666
lucid,1.81,2.39625,23.894304176792502,2.4201443041767927,610.1443041767926
indifference,2.62,2.71575,20.96625603735447,2.7367162560373544,116.71625603735424
reigned,3.14,3.35475,23.76092504709959,3.3785109250470997,238.5109250470996
in,3.24,3.5145,23.19011790677905,3.537690117906779,297.6901179067788
his,3.42,3.5145,23.19011790677905,3.537690117906779,117.69011790677908
soul,3.9,3.99375,20.958072040230036,4.01470807204023,114.70807204023048
the,0.63,1.11825,29.71750684082508,1.147967506840825,517.9675068408251
chaos,1.22,1.43775,22.69904501736164,1.4604490450173617,240.44904501736175
in,1.35,1.5975,24.007923901081085,1.621507923901081,271.5079239010809
which,1.56,1.5975,24.007923901081085,1.621507923901081,61.50792390108095
his,1.76,1.75725,22.908424027264118,1.780158424027264,20.15842402726409
ardour,2.24,2.39625,22.838168079033494,2.4190881680790337,179.0881680790335
extinguished,2.96,3.03525,23.112169932574034,3.058362169932574,98.36216993257408
itself,3.41,3.35475,22.105640964582562,3.3768556409645827,-33.14435903541746
was,3.62,3.67425,21.569838980212808,3.6958198389802126,75.8198389802125
