word,gt_end_s,audio_time_at_commit_s,model_processing_ms,total_output_time_s,latency_ms
he,0.62,0.79875,40.81590101122856,0.8395659010112285,219.56590101122853
hoped,1.01,1.11825,25.933327851817012,1.144183327851817,134.18332785181695
there,1.13,1.43775,22.914431989192963,1.460664431989193,330.66443198919313
would,1.31,1.43775,22.914431989192963,1.460664431989193,150.664431989193
be,1.44,1.5975,20.632561994716525,1.6181325619947164,178.1325619947165
stew,1.83,2.07675,22.69500307738781,2.099445003077388,269.4450030773878
for,1.99,2.2365,20.510375034064054,2.257010375034064,267.010375034064
dinner,2.36,2.39625,20.13175212778151,2.4163817521277817,56.38175212778185
turnips,3.07,3.35475,21.513384068384767,3.376263384068385,306.26338406838505
and,3.24,3.35475,21.513384068384767,3.376263384068385,136.26338406838468
carrots,3.77,3.99375,20.391729194670916,4.014141729194671,244.14172919467126
and,3.98,4.1535,20.51959210075438,4.174019592100755,194.01959210075458
bruised,4.38,4.473,23.54274201206863,4.4965427420120685,116.5427420120686
potatoes,5.05,5.112,20.288550993427634,5.132288550993428,82.28855099342792
and,5.23,5.27175,20.753697026520967,5.292503697026521,62.50369702652048
fat,5.6,5.751,21.330633899196982,5.772330633899197,172.33063389919766
mutton,6.02,6.23025,20.401720888912678,6.2506517208889125,230.65172088891296
pieces,6.51,6.54975,19.998989067971706,6.569748989067972,59.748989067972325
to,6.63,6.86925,21.8898500315845,6.891139850031585,261.1398500315847
be,6.8,6.86925,21.8898500315845,6.891139850031585,91.13985003158476
ladled,7.25,7.3485,23.327355971559882,7.3718273559715595,121.82735597155947
out,7.57,7.668,20.914671011269093,7.688914671011269,118.91467101126895
in,7.68,7.9875,20.315004978328943,8.00781500497833,327.81500497832997
thick,8.15,8.14725,20.389487966895103,8.167639487966895,17.639487966894407
peppered,8.64,8.78625,23.45044817775488,8.809700448177756,169.7004481777551
sauce,10.12,10.224,22.747009061276913,10.246747009061277,126.7470090612779
stuff,0.78,1.11825,28.870885027572513,1.1471208850275725,367.12088502757246
it,0.87,1.11825,28.870885027572513,1.1471208850275725,277.12088502757246
into,1.16,1.278,24.408088997006416,1.3024080889970064,142.40808899700653
you,1.4,1.5975,20.713080884888768,1.6182130808848887,218.21308088488877
his,1.76,1.917,21.26657497137785,1.9382665749713779,178.26657497137788
belly,2.12,2.39625,20.894448971375823,2.417144448971376,297.14444897137594
counselled,2.64,2.8755,20.23669402115047,2.8957366940211506,255.73669402115053
him,2.86,3.03525,20.27901913970709,3.055529019139707,195.5290191397072
after,0.73,0.79875,28.254152974113822,0.8270041529741138,97.0041529741138
early,1.04,1.278,25.68237390369177,1.3036823739036918,263.68237390369177
the,1.9,2.07675,20.70577605627477,2.097455776056275,197.45577605627494
yellow,2.16,2.39625,20.774393109604716,2.417024393109605,257.0243931096048
lamps,2.59,2.71575,21.90772397443652,2.7376577239744364,147.65772397443655
would,2.76,2.8755,20.597444847226143,2.8960974448472263,136.0974448472265
light,3.07,3.195,20.782177103683352,3.215782177103683,145.78217710368335
up,3.27,3.35475,20.7536059897393,3.3755036059897394,105.5036059897394
here,3.52,3.67425,20.884827943518758,3.6951348279435186,175.13482794351853
and,3.66,3.834,21.096569020301104,3.855096569020301,195.09656902030105
there,4.09,3.99375,21.445359103381634,4.015195359103382,-74.80464089661787
the,4.21,4.473,21.300296997651458,4.494300296997651,284.30029699765134
squalid,4.78,4.95225,21.049777045845985,4.973299777045846,193.29977704584599
quarter,5.31,5.4315,18.58204393647611,5.450082043936476,140.08204393647628
of,5.42,5.59125,21.68304310180247,5.612933043101802,192.93304310180216
the,5.5,5.59125,21.68304310180247,5.612933043101802,112.93304310180207
bertie,1.28,1.43775,22.64839387498796,1.460398393874988,180.39839387498802
any,1.46,1.75725,21.74147916957736,1.7789914791695773,318.99147916957736
good,1.77,1.917,22.26403192616999,1.93926403192617,169.26403192617002
in,1.85,2.2365,28.80599000491202,2.265305990004912,415.30599000491185
your,1.99,2.2365,28.80599000491202,2.265305990004912,275.30599000491196
mind,2.48,2.39625,26.466090930625796,2.422716090930626,-57.283909069373976
number,0.65,0.9585,26.217615930363536,0.9847176159303636,334.71761593036354
ten,1.24,1.278,25.548307923600078,1.3035483079236,63.54830792360011
fresh,1.93,2.2365,18.726198002696037,2.255226198002696,325.22619800269604
is,2.55,2.8755,20.66168119199574,2.896161681191996,346.1616811919961
waiting,2.9,3.03525,21.572988014668226,3.0568229880146682,156.8229880146683
on,3.1,3.195,20.440373802557588,3.2154403738025574,115.44037380255733
you,3.4,3.5145,22.638930939137936,3.537138930939138,137.138930939138
night,4.49,4.63275,21.97696198709309,4.654726961987093,164.72696198709258
husband,5.07,4.95225,27.94212312437594,4.980192123124376,-89.80787687562409
the,0.51,0.79875,30.509475152939558,0.8292594751529395,319.2594751529395
music,0.92,0.9585,33.32505002617836,0.9918250500261784,71.82505002617833
came,1.17,1.278,23.75263092108071,1.3017526309210807,131.7526309210808
and,1.88,2.07675,22.434616927057505,2.0991846169270576,219.1846169270577
he,2.0,2.07675,22.434616927057505,2.0991846169270576,99.1846169270576
recalled,2.53,2.556,23.61816493794322,2.5796181649379433,49.61816493794346
the,2.63,2.8755,21.2208260782063,2.8967208260782065,266.7208260782066
words,3.21,3.195,21.246146177873015,3.216246146177873,6.246146177872891
the,3.68,3.834,21.517098182812333,3.8555170981828124,175.51709818281225
words,4.09,4.1535,24.09948082640767,4.177599480826408,87.59948082640801
of,4.18,4.31325,21.259040106087923,4.334509040106088,154.50904010608824
shelley's,4.74,4.95225,23.879098007455468,4.976129098007456,236.12909800745553
fragment,5.28,5.4315,19.1579710226506,5.45065797102265,170.65797102265012
upon,5.56,5.59125,22.16664096340537,5.613416640963405,53.41664096340537
the,5.65,5.91075,21.926249843090773,5.932676249843091,282.6762498430906
moon,6.11,6.0705,22.557673044502735,6.093057673044503,-16.942326955497578
wandering,6.68,6.7095,25.386061053723097,6.734886061053723,54.88606105372362
pale,8.33,8.46675,22.216648096218705,8.488966648096218,158.96664809621797
for,8.53,8.6265,20.972592057660222,8.64747259205766,117.47259205766092
weariness,9.26,9.2655,20.61734301969409,9.286117343019693,26.117343019693706
the,0.66,0.79875,24.472400080412626,0.8232224000804126,163.22240008041257
dull,0.95,1.278,28.255695942789316,1.3062556959427893,356.2556959427894
light,1.41,1.43775,24.132759077474475,1.4618827590774746,51.88275907747464
fell,1.71,1.917,19.980075070634484,1.9369800750706345,226.98007507063457
more,1.94,2.07675,18.85693916119635,2.0956069391611964,155.6069391611965
faintly,2.46,2.556,18.801501020789146,2.574801501020789,114.80150102078923
upon,2.76,2.8755,19.666607957333326,2.8951666079573335,135.1666079573337
the,2.84,3.03525,20.07698710076511,3.055326987100765,215.32698710076525
page,3.4,3.5145,21.32371300831437,3.5358237130083143,135.82371300831443
another,4.22,4.1535,19.584691151976585,4.173084691151977,-46.915308848022974
equation,4.85,4.95225,17.542734974995255,4.9697927349749955,119.79273497499588
began,5.29,5.27175,19.14746407419443,5.290897464074194,0.8974640741943318
to,5.48,5.59125,18.868331098929048,5.610118331098929,130.11833109892822
unfold,6.01,6.0705,20.343224052339792,6.09084322405234,80.84322405234002
