word,gt_end_s,audio_time_at_commit_s,model_processing_ms,total_output_time_s,latency_ms
he,0.62,0.79875,32.56161999888718,0.8313116199988871,211.31161999888715
hoped,1.01,1.11825,20.336657064035535,1.1385866570640355,128.58665706403548
there,1.13,1.43775,20.84109792485833,1.4585910979248584,328.5910979248585
would,1.31,1.43775,20.84109792485833,1.4585910979248584,148.59109792485836
be,1.44,1.5975,20.520000951364636,1.6180200009513646,178.0200009513646
stew,1.83,2.07675,23.423003032803535,2.1001730030328036,270.17300303280354
for,1.99,2.2365,21.995417773723602,2.2584954177737235,268.49541777372355
dinner,2.36,2.39625,20.120016997680068,2.4163700169976803,56.37001699768041
turnips,3.07,3.35475,20.210569025948644,3.3749605690259488,304.9605690259489
and,3.24,3.35475,20.210569025948644,3.3749605690259488,134.96056902594856
carrots,3.77,3.99375,19.6893191896379,4.013439319189638,243.43931918963824
and,3.98,4.1535,19.064564956352115,4.172564564956352,192.5645649563523
bruised,4.38,4.473,23.777086986228824,4.496777086986229,116.7770869862288
potatoes,5.05,5.112,21.160694072023034,5.133160694072023,83.16069407202332
and,5.23,5.27175,21.17835683748126,5.292928356837481,62.92835683748077
fat,5.6,5.751,20.267426036298275,5.771267426036299,171.26742603629896
mutton,6.02,6.23025,19.14477488026023,6.24939477488026,229.3947748802605
pieces,6.51,6.54975,19.89857596345246,6.569648575963453,59.64857596345308
to,6.63,6.86925,20.414315164089203,6.889664315164089,259.6643151640894
be,6.8,6.86925,20.414315164089203,6.889664315164089,89.66431516408946
ladled,7.25,7.3485,21.707437001168728,7.370207437001168,120.20743700116832
out,7.57,7.668,19.161549163982272,7.687161549163982,117.16154916398213
in,7.68,7.9875,19.54736397601664,8.007047363976017,327.04736397601766
thick,8.15,8.14725,20.051463041454554,8.167301463041454,17.301463041453857
peppered,8.64,8.78625,21.49302512407303,8.807743025124074,167.74302512407326
sauce,10.12,10.224,20.875936839729548,10.24487593683973,124.87593683973053
stuff,0.78,1.11825,23.64423987455666,1.1418942398745566,361.8942398745566
it,0.87,1.11825,23.64423987455666,1.1418942398745566,271.8942398745566
into,1.16,1.278,23.638861952349544,1.3016388619523496,141.63886195234966
